Parameter,PRCC_RDI,PRCC_Final_Lymphoma_Burden,Abs
F0,0.8718062879084941,-0.6921133215490792,0.8718062879084941
H0,0.8589840210099599,-0.7076671503095517,0.8589840210099599
C,-0.7690811397745048,0.5959407409094902,0.7690811397745048
tf,-0.6938507419182709,0.5183008281866286,0.6938507419182709
th,-0.6532700856808636,0.47566153230502584,0.6532700856808636
rh,0.5094901520492564,-0.36057232899435787,0.5094901520492564
rf,0.47847041151485,-0.3010229013653359,0.47847041151485
dh,-0.3752807094609917,0.2616763144285449,0.3752807094609917
e,0.33867593761046544,-0.9488496589639784,0.33867593761046544
df,-0.2835440746132113,0.17572323395484787,0.2835440746132113
g,-0.17822880043933206,0.8357748347854371,0.17822880043933206
